city,lat,lng,capital,population,admin
Ho Chi Minh City,10.776577,106.70085,admin,5314000,Hồ Chí Minh
Hanoi,21.028167,105.854152,primary,4378000,Hà Nội
Haiphong,20.864807,106.683449,admin,1969000,Hải Phòng
Cần Thơ,10.037105,105.788249,admin,1121000,Cần Thơ
Đà Nẵng,16.074806,108.223958,admin,1000000,Đà Nẵng
Huế,16.461901,107.595458,admin,950000,Thừa Thiên-Huế
Quy Nhơn,13.768898,109.228563,admin,805290,Bình Định
Hiệp Hòa,10.933333,106.833333,,652646,Đồng Nai
Phú Vinh,18.716667,105.7,,593645,Nghệ An
Thành Phố Thái Nguyên,21.59422,105.848172,admin,500000,Thái Nguyên
Nha Trang,12.248089,109.19436,admin,411556,Khánh Hòa
Cà Mau,9.176817,105.152421,admin,356636,Cà Mau
Việt Trì,21.32274,105.401981,admin,350000,Phú Thọ
Long Xuyên,10.386392,105.435178,admin,350000,An Giang
Buôn Ma Thuột,12.674192,108.043542,admin,349945,Đắk Lắk
Phan Thiết,10.928888,108.102078,admin,336846,Bình Thuận
Xóm Rạch Giồng,10.033333,105.066667,,300000,Kiến Giang
Sóc Trăng,9.599946,105.971932,admin,300000,Sóc Trăng
Đà Lạt,11.935883,108.442891,admin,256019,Lâm Đồng
Quảng Ngãi,15.120467,108.792318,admin,250000,Quảng Ngãi
Vũng Tàu,10.35,107.066667,admin,248767,Bà Rịa-Vũng Tàu
Thủ Dầu Một,10.980396,106.651905,admin,244277,Bình Dương
Thành Phố Nam Định,20.433886,106.177286,admin,243186,Nam Định
Thành phố Bạc Liêu,9.294141,105.727764,admin,225000,Bạc Liêu
Thành Phố Thái Bình,20.45,106.340018,admin,210000,Thái Bình
Tinh Xa,19.8,105.783333,,197551,Thanh Hóa
Sơn Vi,21.116667,105.533333,,189547,Hà Nội
Động Hỏi,17.5,106.633333,,189265,Quảng Bình
Phan Rang-Tháp Chàm,11.564315,108.988581,admin,179773,Ninh Thuận
Hà Tĩnh,18.34282,105.905695,admin,165396,Hà Tĩnh
Cao Lãnh,10.460171,105.632944,admin,149837,Đồng Tháp
Thành Phố Lạng Sơn,21.852639,106.76101,admin,148000,Lạng Sơn
Cam Ranh,11.9,109.216667,,146771,Khánh Hòa
Plei Khưn,13.95,108.033333,,142900,Gia Lai
Tân An,10.535893,106.41366,admin,137498,Long An
Cẩm Phả Mines,21.016667,107.3,,135477,Quảng Ninh
Trà Vinh,9.947188,106.342249,admin,131360,Trà Vinh
Thành Phố Ninh Bình,20.258085,105.979651,admin,130517,Ninh Bình
Tây Ninh,11.310043,106.098275,admin,126370,Tây Ninh
Mỹ Hòa,10.37886,106.382463,,124143,Tiền Giang
Kon Tum,14.383333,107.983333,,105489,Kon Tum
Thành Phố Hòa Bình,20.817166,105.33759,admin,105260,Hòa Bình
